Date,Loyalty_Programme,Search_Term_Popularity
2024-05-31,Nedbank_Greenbacks,19
2024-06-30,Nedbank_Greenbacks,22
2024-07-31,Nedbank_Greenbacks,22
2024-08-31,Nedbank_Greenbacks,23
2024-09-30,Nedbank_Greenbacks,24
2024-10-31,Nedbank_Greenbacks,23
2024-11-30,Nedbank_Greenbacks,15
2024-12-31,Nedbank_Greenbacks,0
2025-01-31,Nedbank_Greenbacks,16
2025-02-28,Nedbank_Greenbacks,7
2025-03-31,Nedbank_Greenbacks,18
